data_symbol,xmltagname,datatype,measurementunit,xsitype
AL,alarmStatus,string,enumeration,SurfaceInformation
BI,blackIceFrequency,float,celsius,SurfaceInformation
CL,cloudState,string,enumeration,AtmosphericInformation
CN,deIcingConcentration,float,kilogramsPerCubicMetre,SurfaceInformation
CS,conductivity,float,other,SurfaceInformation
FR,levelOfGrip,float,other,SurfaceInformation
GE,amountOfChemical,float,kilogramsPerCubicMetre,SurfaceInformation
IL,iceLayer,float,other,SurfaceInformation
MST,generalStatus,string,enumeration,EquipmentStatusInformation
P,atmosphericPressure,float,other,AtmosphericInformation
PR,precipitationTotal,float,metres,AtmosphericInformation
PW,presentWeather,string,enumeration,AtmosphericInformation
RA,solarRadiation,,,AtmosphericInformation
RD,rainOnOff,string,enumeration,AtmosphericInformation
RH,relativeHumidity,integer,percentage,AtmosphericInformation
RI,rainIntensity,float,millimetresPerHour,AtmosphericInformation
RL,relayState,integer,other,EquipmentStatusInformation
RS,rainState,string,enumeration,AtmosphericInformation
SH,snowHeight,float,metres,AtmosphericInformation
SL,snowLayer,float,other,SurfaceInformation
SS,surfaceSignal,float,other,SurfaceInformation
ST,surfaceState,string,enumeration,SurfaceInformation
T,airTemperature,float,celsius,AtmosphericInformation
TB,baseTemperature,float,celsius,SurfaceInformation
TD,dewPointTemperature,float,celsius,AtmosphericInformation
TF,liquidFreezingTemperature,float,celsius,SurfaceInformation
TG,groundTemperature,float,celsius,SurfaceInformation
TR,freezingTemperature,float,celsius,SurfaceInformation
TS,surfaceTemperature,float,celsius,SurfaceInformation
VI,minimumVisibilityDistance,integer,metres,AtmosphericInformation
WD,windDirectionBearing,integer,degrees,AtmosphericInformation
WDM,maximumWindSpeedDirectionBearing,integer,degrees,AtmosphericInformation
WL,waterLayer,float,other,SurfaceInformation
WS,windSpeed,float,kilometresPerHour,AtmosphericInformation
WSM,maximumWindSpeed,float,kilometresPerHour,AtmosphericInformation
WT,waterThickness,float,metres,SurfaceInformation
BT,batteryVoltage,float,volts,EquipmentStatusInformation
FDS,visibilitySensorStatus,string,enumeration,EquipmentStatusInformation
